pbTrophies,kingLevel,cardLevels,warDayWins,winRate,maxChallengeWins,opponentTrophies,opponentKingLevel,maxOpponentChallengeWins,opponentCardLevels,opponentWinRate,winning
5700,12,10.21052632,41,0.504824322,10,5930,13,12,10.52631579,0.584189231,0
6647,13,10.84210526,179,0.602689805,12,6351,13,11,11.29787234,0.545224861,1
6880,13,11.32631579,203,0.570499466,17,5855,12,10,10.05263158,0.530471137,1
6817,13,11.53684211,166,0.641393735,19,5932,13,11,11.53684211,0.496994332,1
6802,13,11.67368421,189,0.573390734,16,5483,11,8,8.873684211,0.581994928,1
7012,13,10.70526316,75,0.557178044,18,5643,13,12,11.82105263,0.49479646,1
6576,13,11.42105263,215,0.638311595,20,6295,13,10,11.31914894,0.553130097,1
6644,13,11.11578947,174,0.567094903,15,6309,13,14,10.77894737,0.521592417,1
6513,13,11.37894737,212,0.573131909,14,5630,12,10,10.08510638,0.502662209,1
6507,13,11.63157895,173,0.598497189,15,5789,12,12,8.957894737,0.566743119,1
6360,13,10.85263158,58,0.545918802,12,5912,13,10,11.15789474,0.498259572,1
6740,13,11.37894737,133,0.578406542,15,5925,13,11,10.29787234,0.507558386,1
6559,13,11.64210526,210,0.615502425,16,5829,12,12,10.77894737,0.578287785,0
7085,13,11.04210526,186,0.580674646,19,5529,12,12,9.436170213,0.551269626,1
7004,13,11.57894737,181,0.730460218,16,5844,13,12,10.35789474,0.506535948,1
6905,13,10.6,175,0.535786103,11,5954,12,12,9.255319149,0.568564098,0
5957,12,10.12631579,38,0.519770564,12,4832,12,11,8.063829787,0.65647365,0
5777,12,8.863157895,92,0.524700888,10,5219,11,10,9.308510638,0.466306645,1
5723,12,10.03157895,54,0.570124003,16,5499,11,6,6.571428571,0.441674781,1
5535,12,8.516129032,60,0.488285527,6,5046,10,6,7.304347826,0.748571429,1
5877,12,7.468085106,50,0.528504072,10,5507,11,6,9.468085106,0.469853787,1
5355,11,8.597826087,31,0.510930022,12,4919,11,12,8.935483871,0.496738343,0
5252,12,10.64210526,8,0.612714157,8,5871,13,11,11.94736842,0.499043716,0
5300,10,8.010526316,33,0.665053243,6,5064,10,9,7.35106383,0.557446809,1
4943,11,7.215053763,27,0.504053058,10,4633,11,10,10.03225806,0.464213232,0
5264,9,5.489361702,6,0.584055459,12,4863,10,6,8.547368421,0.470496491,0
5098,11,9.053191489,24,0.519422863,10,5306,11,12,9.421052632,0.555628059,1
5190,11,8.712765957,18,0.527931246,10,4982,10,10,8.387096774,0.59073107,0
5105,10,7.894736842,14,0.584558824,8,5134,11,8,9.410526316,0.562539683,0
5102,11,9.252631579,16,0.487221764,7,5721,13,10,10.31578947,0.501268015,1
4898,9,6.83908046,1,0.496219931,6,5295,10,5,8.840425532,0.452932099,0
4996,11,9.419354839,9,0.448554136,6,3418,8,0,6.066666667,0.73364486,1
4925,11,9.021276596,3,0.514915694,10,5365,12,10,9.29787234,0.503890714,0
4749,11,8.536842105,5,0.416947723,4,4188,13,6,11.60638298,0.487400252,0
5222,11,8.688172043,28,0.535454197,10,5482,11,6,8.138297872,0.476554359,0
5296,11,9.744680851,23,0.469877049,12,5097,12,12,9.23655914,0.523896753,0
5027,11,9.468085106,26,0.498705781,5,5074,11,8,9.147368421,0.636956522,1
4716,10,8.64893617,15,0.514715948,6,4761,9,5,8.046511628,0.468113083,0
4659,9,7.597701149,1,0.46007371,5,5081,11,6,8.382978723,0.440992349,0
4408,10,7.689655172,26,0.536376605,2,5083,10,5,8.010638298,0.471670702,0
4432,10,8.440860215,16,0.572128852,11,4932,10,7,7.473684211,0.561936937,1
4693,10,8.054945055,31,0.548755187,10,5340,11,5,9.234042553,0.493144133,1
4280,12,9.784946237,30,0.533730159,11,5369,12,10,9.294736842,0.476964438,1
4662,10,8.184782609,23,0.49489603,10,5307,10,12,8.936842105,0.553704516,0
4355,9,7.081395349,5,0.503412969,10,4830,11,10,9.186813187,0.491921005,0
4171,9,7.060240964,2,0.540796964,0,4742,12,6,10.25531915,0.498802873,0
6734,13,10.44210526,125,0.567438226,15,5708,12,11,10.04210526,0.556419113,1
6234,12,10.07368421,128,0.532292788,12,5465,12,10,8.819148936,0.531493868,1
6008,13,10.45744681,186,0.546488683,12,5751,12,10,10.47368421,0.542918074,0
5975,12,9.347368421,71,0.547198772,13,5319,11,3,8.821052632,0.486011191,1
5922,12,9.642105263,58,0.58531746,12,6029,13,12,10,0.591584602,1
5622,13,11.15957447,143,0.531440488,12,6051,13,12,11.07368421,0.572628809,0
5698,13,10.02105263,125,0.537006206,10,5683,12,9,10.13684211,0.517577197,1
